record_number,code,band_size,scribe,bander,band_prefix,band_number,species_code,species_name,calendar_age,wrp_age,how_age,how_age2,sex,how_sex,how_sex2,eye_color,skull,bp,cp,fat,body_molt,ff_molt,ff_wear,juv_plg,pp_covs,gr_covs,primaries,secondaries,tertials,rectrices,body_plg,wing_chord,mass,day,month,year,capture_time,release_time,station,net_number,status,disposition,notes,comments,notes,,,,,
NULL,N,1A,ZA,SL,2641,9359,WOTH,Wood Thrush,AHY,DCB,P,NULL,U,NULL,NULL,DB,NULL,0,0,1,0,N,1,NULL,B,B,B,B,B,B,B,100,46.2,21,10,2021,1035,1145,CT,1,300,NULL,,,,,,,,
NULL,N,1A,JH,TB,2641,9360,GRCA,Gray Catbird,AHY,DCB,P,NULL,U,NULL,NULL,M,NULL,0,0,3,0,N,1,NULL,B,B,B,B,B,B,B,88,34.7,21,10,2021,1105,1231,CT,35,300,NULL,,,,,,,,
NULL,N,1A,TB,ZA,2641,9361,GRCA,Gray Catbird,AHY,DCB,P,NULL,U,NULL,NULL,M,NULL,0,0,2,0,N,1,NULL,B,B,B,B,B,B,B,87,36,21,10,2021,1235,1251,CT,14,300,NULL,,,,,,,,
NULL,N,1A,TB,ZA,2641,9362,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,4,0,N,1,NULL,J,L,J,J,J,J,F,103,48,21,10,2021,1600,1633,CT,1,300,NULL,,,,,,,,
NULL,N,1A,ZA,SL,2641,9363,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,4,0,N,0,NULL,J,L,J,J,J,J,F,100,48.3,21,10,2021,1700,1722,CT,4,300,NULL,,,,,,,,
NULL,N,1A,ZA,JH,2641,9364,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,102,54.9,21,10,2021,1700,1731,CT,12,300,NULL,,,,,,,,
NULL,N,1A,TB,SL,2641,9365,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,2,NULL,J,L,J,J,J,J,F,104,41.9,22,10,2021,555,614,CT,3,300,NULL,,,,,,,,
NULL,N,1A,TB,SL,2641,9366,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,105,48.3,22,10,2021,622,629,CT,12,300,NULL,,,,,,,,
NULL,R,1A,MAC,EA,2641,9366,WOTH,Wood Thrush,SY,FCF,1,NULL,U,5,6,,NULL,0,0,1,N,5,NULL,,J,M,J,J,J,J,F,105,46.1,4,3,2022,9:00,9:30,CT,25,NULL,R,,,,,,,,
NULL,R,1A,MB,RL,2641,9366,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,1,N,1,NULL,J,L,J,J,J,J,F,105,48.6,8,11,2021,8:25,8:55,CT,25,300,NULL,,,,,,,,
NULL,R,1A,QA,SL,2641,9366,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,6,0,0,1,0,N,1,NULL,J,L,J,J,J,J,F,107,47.4,10,11,2021,16:40,17:16,CT,25,300,NULL,,,,,,,,
NULL,N,1A,SL,JH,2641,9367,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,3,NULL,J,L,J,J,J,J,F,89,30.5,22,10,2021,800,831,CT,3,300,NULL,,,,,,,,
NULL,N,1A,JH,SHD,2641,9368,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,LB,NULL,0,0,1,0,N,0,NULL,J,L,J,J,J,J,F,86,31.6,7,11,2021,6:25,6:55,CT,4,300,NULL,,,,,,,,
NULL,R,1A,JH,WD,2641,9368,GRCA,Gray Catbird,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,2,0,N,1,NULL,J,L,J,J,J,J,F,87,35.2,9,11,2021,15:45,16:20,CT,16,300,NULL,,,,,,,,
NULL,N,1A,JH,SHD,2641,9369,WOTH,Wood Thrush,HY,FCF,L,NULL,U,NULL,NULL,DB,NULL,0,0,0,0,N,1,NULL,J,L,J,J,J,J,F,105,51.1,7,11,2021,6:25,7:15,CT,7,300,NULL,,,,,,,,
